" "," "," ","%"," ","%"," ","%"," ","%"
"(1)","(2a)","(2b)","(3a)","(3b)","(4a)","(4b)","(5a)","(5b)"
"Ln (price per gram)","−0.501***","−0.613***"," ","−0.462***"," ","−0.528***"," ","−0.493***"," "
" ","(0.020)","(0.024)"," ","(0.071)"," ","(0.071)"," ","(0.073)"," "
"Quality (base: low)"," "," "," "," "," "," "," "," "," "
" Medium"," ","0.304***","35.5","0.584***","79.3","0.201","22.3","0.353*","42.3"
" "," ","(0.074)"," ","(0.192)"," ","(0.189)"," ","(0.198)"," "
" High"," ","0.595***","81.3","1.095***","198.9","0.634***","88.5","0.646***","90.8"
" "," ","(0.088)"," ","(0.218)"," ","(0.212)"," ","(0.220)"," "
,"Ln(price per gram)*quality (base: low)"," "," "," "," "," "," "," "," "
" Ln(price per gram)*medium"," "," "," ","−0.138*"," ","−0.026"," ","−0.078"," "
" "," "," "," ","(0.079)"," ","(0.078)"," ","(0.081)"," "
" Ln(price per gram)*high"," "," "," ","−0.194**"," ","−0.070"," ","−0.086"," "
" "," "," "," ","(0.080)"," ","(0.078)"," ","(0.080)"," "
,"Intensity (base: less than daily)"," "," "," "," "," "," "," "," "
" Daily"," "," "," "," "," ","0.813***","125.5","0.815***","125.9"
" "," "," "," "," "," ","(0.042)"," ","(0.043)"," "
"Gender (base: male)"," "," "," "," "," "," "," "," "," "
" Female"," "," "," "," "," "," "," ","−0.119***","−11.2"
" "," "," "," "," "," "," "," ","(0.044)"," "
,"Population group (base: White)"," "," "," "," "," "," "," "," "
" African"," "," "," "," "," "," "," ","0.048","4.9"
" "," "," "," "," "," "," "," ","(0.073)"," "
" Colored"," "," "," "," "," "," "," ","0.075","7.8"
" "," "," "," "," "," "," "," ","(0.059)"," "
" Asian/Indian"," "," "," "," "," "," "," ","0.028","2.8"
" "," "," "," "," "," "," "," ","(0.093)"," "
"Age (base: <20)"," "," "," "," "," "," "," "," "," "
" 20–29"," "," "," "," "," "," "," ","−0.095","−9.1"
" "," "," "," "," "," "," "," ","(0.075)"," "
" 30 − 39"," "," "," "," "," "," "," ","−0.182**","−16.6"
" "," "," "," "," "," "," "," ","(0.092)"," "
" 40 − 49"," "," "," "," "," "," "," ","−0.105","−10.0"
" "," "," "," "," "," "," "," ","(0.117)"," "
" 50+"," "," "," "," "," "," "," ","−0.149","−13.8"
" "," "," "," "," "," "," "," ","(0.134)"," "
,"Province (base: Western Cape)"," "," "," "," "," "," "," "," "
" Gauteng"," "," "," "," "," "," "," ","0.115**","12.2"
" "," "," "," "," "," "," "," ","(0.047)"," "
" Other"," "," "," "," "," "," "," ","0.107**","11.3"
" "," "," "," "," "," "," "," ","(0.051)"," "
"Ln (income)"," "," "," "," "," "," "," ","0.024"," "
" "," "," "," "," "," "," "," ","(0.022)"," "
" Constant","5.005***","4.991***"," ","4.671***"," ","4.366***"," ","4.117***"," "
" ","(0.065)","(0.085)"," ","(0.163)"," ","(0.166)"," ","(0.250)"," "
" Observations","1969","1969"," ","1969"," ","1952"," ","1824"," "
" R-squared","0.254","0.271"," ","0.273"," ","0.406"," ","0.415"," "